Month,Borough,IncidentsNo,AvgResponseTimesMinutes,Recommended,Description
11/2018,Manhattan,11808,9.313833333333333,<8,min
08/2017,Manhattan,11494,7.807,<8,max
05/2019,Queens,9525,8.8735,<8,min
07/2017,Queens,9441,7.958166666666667,<8,max
01/2018,Brooklyn,14250,8.831666666666667,<8,min
08/2017,Brooklyn,13028,7.622,<8,max
01/2018,Staten Island,2289,8.170833333333333,<8,min
10/2017,Staten Island,2129,7.455333333333333,<8,max
05/2019,Bronx,11660,9.917666666666666,<8,min
08/2017,Bronx,10581,8.259,<8,max
